gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CF	CM	EC	OTH
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.267	0.05	0.014	0.064
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.002	0.007	0.0	0.0
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.45	0.007	0.0	0.013
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.954	0.684	0.232	0.897
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.834	0.446	0.0	0.077
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.005	0.027	0.0	0.0
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.685	0.037	0.362	0.846
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.359	0.178	0.362	0.128
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.12	0.023	0.203	0.038
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.753	0.64	0.406	0.91
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.12	0.023	0.203	0.038
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.753	0.64	0.406	0.91
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.12	0.023	0.203	0.038
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.753	0.64	0.406	0.91
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.237	0.066	0.58	0.064
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.049	0.001	0.0	0.0
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.049	0.001	0.0	0.0
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.0	0.001	0.0	0.026
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.242	0.564	0.029	0.103
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.0	0.029	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.022	0.016	0.0	0.026
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.606	0.26	0.029	0.897
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.296	0.006	0.0	0.013
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.027	0.001	0.058	0.308
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.753	0.64	0.406	0.91
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.037	0.016	0.072	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.0	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.196	0.031	0.0	0.103
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.002	0.001	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.037	0.016	0.072	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.0	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.196	0.031	0.0	0.103
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.002	0.001	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.037	0.016	0.072	0.026
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.0	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.196	0.031	0.0	0.103
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.002	0.001	0.0	0.0
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.002	0.001	0.0	0.013
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.068	0.004	0.971	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.134	0.071	0.899	0.051
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.134	0.071	0.899	0.051
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.134	0.071	0.899	0.051
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.134	0.071	0.899	0.051
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.0	0.0	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.0	0.0	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.002	0.001	0.014	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.002	0.001	0.014	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.012	0.008	0.0	0.013
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.012	0.008	0.0	0.013
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.012	0.008	0.0	0.013
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.012	0.008	0.0	0.013
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.582	0.057	0.594	0.103
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.005	0.015	0.0	0.013
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.024	0.002	0.014	0.538
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.203	0.005	0.0	0.0
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.081	0.427	0.13	0.09
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.081	0.427	0.13	0.09
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.081	0.427	0.13	0.09
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.081	0.427	0.13	0.09
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.01	0.003	0.0	0.013
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.015	0.002	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.015	0.002	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.015	0.002	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.015	0.002	0.0	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.186	0.007	0.435	0.013
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.186	0.007	0.435	0.013
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.037	0.006	0.029	0.0
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.103	0.004	0.304	0.667
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.142	0.139	0.0	0.038
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.142	0.139	0.0	0.038
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.142	0.139	0.0	0.038
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.027	0.3	0.0	0.026
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.027	0.3	0.0	0.026
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.012	0.001	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.09	0.013	0.014	0.051
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.289	0.005	0.0	0.551
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.526	0.261	0.536	0.103
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.526	0.261	0.536	0.103
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.428	0.083	0.623	0.128
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.428	0.083	0.623	0.128
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.428	0.083	0.623	0.128
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.0	0.001	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.002	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.002	0.001	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.12	0.22	0.623	0.013
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.227	0.062	0.058	0.026
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.227	0.062	0.058	0.026
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.477	0.071	1.0	0.051
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.477	0.071	1.0	0.051
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.24	0.202	0.928	0.128
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.24	0.202	0.928	0.128
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.548	0.04	0.043	0.013
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.01	0.067	0.0	0.0
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.012	0.0	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.012	0.0	0.0	0.013
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.005	0.0	0.0	0.051
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.005	0.0	0.0	0.051
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.088	0.001	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.088	0.001	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.088	0.001	0.0	0.0
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.23	0.11	0.797	0.077
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.015	0.004	0.0	0.308
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.43	0.065	0.217	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.017	0.002	0.0	0.0
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.042	0.007	0.043	0.051
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.134	0.377	0.899	0.09
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.086	0.232	0.014	0.026
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.086	0.232	0.014	0.026
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.086	0.232	0.014	0.026
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.086	0.232	0.014	0.026
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.826	0.829	0.551	0.218
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.826	0.829	0.551	0.218
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.826	0.829	0.551	0.218
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.826	0.829	0.551	0.218
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.0	0.001	0.0	0.0
