gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CF	CM	EC	OTH
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.149	0.022	0.0	0.035
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.001	0.001	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.025	0.013	0.056	0.012
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.0	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.149	0.022	0.0	0.035
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.001	0.001	0.0	0.0
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.001	0.0	0.003
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.066	0.004	1.794	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.138	0.058	1.614	0.045
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.138	0.058	1.614	0.045
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.138	0.058	1.614	0.045
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.138	0.058	1.614	0.045
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.0	0.0	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.0	0.0	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.001	0.011	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.001	0.011	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.008	0.006	0.0	0.003
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.008	0.006	0.0	0.003
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.008	0.006	0.0	0.003
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.008	0.006	0.0	0.003
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.6	0.043	0.629	0.046
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.003	0.01	0.0	0.004
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.016	0.001	0.014	0.371
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.193	0.004	0.0	0.0
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.073	0.423	0.151	0.038
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.073	0.423	0.151	0.038
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.073	0.423	0.151	0.038
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.073	0.423	0.151	0.038
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.006	0.003	0.0	0.009
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.009	0.001	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.009	0.001	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.009	0.001	0.0	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.009	0.001	0.0	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.201	0.005	0.554	0.009
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.201	0.005	0.554	0.009
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.026	0.005	0.032	0.0
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.08	0.003	0.272	0.574
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.112	0.111	0.0	0.022
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.112	0.111	0.0	0.022
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.112	0.111	0.0	0.022
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.02	0.32	0.0	0.009
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.02	0.32	0.0	0.009
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.007	0.001	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.072	0.01	0.013	0.026
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.249	0.004	0.0	0.362
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.492	0.225	0.549	0.054
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.492	0.225	0.549	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.373	0.065	0.634	0.06
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.373	0.065	0.634	0.06
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.373	0.065	0.634	0.06
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.0	0.001	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.002	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.002	0.001	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.095	0.183	0.799	0.005
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.171	0.045	0.033	0.014
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.171	0.045	0.033	0.014
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.521	0.058	3.245	0.045
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.521	0.058	3.245	0.045
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.195	0.197	1.881	0.082
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.195	0.197	1.881	0.082
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.524	0.031	0.022	0.006
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.005	0.055	0.0	0.0
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.011	0.0	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.008	0.0	0.0	0.002
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.005	0.0	0.0	0.015
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.005	0.0	0.0	0.015
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.064	0.001	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.064	0.001	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.064	0.001	0.0	0.0
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.181	0.085	1.103	0.027
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.01	0.003	0.0	0.2
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.386	0.048	0.182	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.012	0.001	0.0	0.0
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.042	0.005	0.029	0.026
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.138	0.399	1.614	0.048
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.063	0.232	0.009	0.014
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.063	0.232	0.009	0.014
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.063	0.232	0.009	0.014
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.063	0.232	0.009	0.014
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	1.28	1.445	0.658	0.165
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	1.28	1.445	0.658	0.165
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	1.28	1.445	0.658	0.165
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	1.28	1.445	0.658	0.165
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.0	0.001	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.0	0.001	0.0	0.0
