id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PR	CM|UN	CM|nan	EC|CM	EC|EC	EC|EP	EC|PR	EC|UN	EC|nan	EP|CM	EP|EC	EP|EP	EP|PR	EP|UN	EP|nan	PR|CM	PR|EC	PR|EP	PR|PR	PR|UN	PR|nan	UN|CM	UN|EC	UN|EP	UN|PR	UN|UN	UN|nan	nan|CM	nan|EC	nan|EP	nan|PR	nan|UN	nan|nan
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.263	0.614	0.154	0.208	0.198	0.492	0.614	0.965	0.505	0.559	0.549	0.843	0.154	0.505	0.044	0.098	0.089	0.383	0.208	0.559	0.098	0.152	0.143	0.437	0.198	0.549	0.089	0.143	0.133	0.428	0.492	0.843	0.383	0.437	0.428	0.722
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.024	0.316	0.024	0.2	0.004	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.608	0.9	0.609	0.785	0.588	0.885	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.316	0.025	0.201	0.004	0.301	0.024	0.316	0.025	0.201	0.004	0.301
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.026	0.0	0.022	0.1	0.0	0.022	0.05	0.0	0.046	0.124	0.0	0.046	0.014	0.0	0.011	0.088	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.011	0.089	0.0	0.011	0.107	0.0	0.104	0.181	0.0	0.103
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.015	0.021	0.2	0.0	0.0	0.022	0.002	0.008	0.187	0.0	0.0	0.01	0.848	0.854	1.033	0.0	0.0	0.856	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.024	0.203	0.0	0.0	0.025	0.056	0.062	0.241	0.0	0.0	0.064
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.004	0.0	0.0	0.0	0.004	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.014	0.108
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.224	0.079	0.022	0.0	0.097	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.223	0.078	0.021	0.0	0.096	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.078	0.022	0.0	0.097	0.039	0.222	0.077	0.02	0.0	0.095	0.038
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.221	0.076	0.019	0.0	0.094	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.076	0.02	0.0	0.095	0.037
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.225	0.08	0.023	0.0	0.098	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.102	0.045	0.0	0.12	0.063	0.225	0.08	0.024	0.0	0.098	0.041
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.222	0.077	0.021	0.0	0.096	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.223	0.077	0.021	0.0	0.096	0.038	0.228	0.083	0.026	0.0	0.101	0.044
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.121	0.0	0.124	0.0	0.128	0.122	0.02	0.0	0.023	0.0	0.027	0.021	0.012	0.0	0.015	0.0	0.02	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.052	0.0	0.056	0.05	0.174	0.0	0.177	0.0	0.181	0.175
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.017
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.012
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.01
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.0	0.0	0.0	0.0	0.005	0.013	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.422	0.0	0.0	0.0	0.0	0.426	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.027
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.113	0.388	0.115	0.0	0.0	0.211	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.306	0.033	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.311	0.038	0.0	0.0	0.134	0.149	0.424	0.151	0.0	0.0	0.247
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.011	0.286	0.013	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.371	0.098	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.282	0.009	0.0	0.0	0.105	0.014	0.289	0.016	0.0	0.0	0.112
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.015	0.029	0.0	0.0	0.016	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.023	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.022	0.0	0.0	0.009	0.019	0.012	0.025	0.0	0.0	0.012	0.022
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.002	0.137	0.288	0.081	0.003	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.288	0.439	0.232	0.154	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.136	0.288	0.08	0.002	0.04
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.059	0.0	0.013	0.201	0.024	0.058	0.1	0.0	0.053	0.242	0.065	0.098	0.092	0.0	0.046	0.234	0.057	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.016	0.205	0.027	0.061	0.126	0.0	0.079	0.268	0.091	0.125
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.058	0.0	0.012	0.2	0.023	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.012	0.201	0.024	0.057	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.012	0.201	0.023	0.057
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.178	0.0	0.015	0.0	0.086	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.009	0.0	0.08	0.015	0.218	0.0	0.055	0.0	0.126	0.061
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.199	0.0	0.037	0.0	0.108	0.042	0.427	0.0	0.265	0.0	0.336	0.27	0.192	0.0	0.03	0.0	0.101	0.035	0.439	0.0	0.277	0.0	0.348	0.282	0.181	0.0	0.019	0.0	0.089	0.024	0.223	0.0	0.061	0.0	0.132	0.067
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.011	0.0	0.0	0.0	0.012	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.008	0.052	0.0	0.0	0.0	0.052	0.054
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.037	0.039	0.046	0.0	0.045	0.068	0.265	0.267	0.274	0.0	0.273	0.296	0.03	0.032	0.038	0.0	0.038	0.061	0.277	0.279	0.285	0.0	0.285	0.308	0.019	0.021	0.027	0.0	0.027	0.05	0.061	0.063	0.07	0.0	0.07	0.093
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.07	0.0	0.249	0.263	0.076	0.193	0.028	0.0	0.207	0.222	0.034	0.151	0.247	0.0	0.426	0.441	0.253	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.225	0.24	0.053	0.169	0.039	0.0	0.218	0.233	0.045	0.162
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.124	0.284	0.036	0.165	0.089	0.255	0.124	0.283	0.036	0.165	0.088	0.255	0.142	0.301	0.053	0.183	0.106	0.272	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.281	0.034	0.163	0.086	0.253	0.154	0.313	0.066	0.195	0.118	0.285
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.116	0.275	0.028	0.157	0.08	0.247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.277	0.029	0.159	0.082	0.249	0.123	0.282	0.035	0.164	0.087	0.254
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.034	0.318	0.031	0.081	0.033	0.188	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.394	0.107	0.157	0.108	0.263	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.319	0.032	0.082	0.033	0.188	0.038	0.323	0.036	0.086	0.037	0.192
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.033	0.318	0.031	0.081	0.032	0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.32	0.033	0.083	0.034	0.189	0.035	0.32	0.033	0.082	0.034	0.189
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.053	0.338	0.051	0.1	0.052	0.207	0.036	0.321	0.034	0.084	0.035	0.19	0.049	0.334	0.047	0.097	0.048	0.203	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.324	0.037	0.087	0.038	0.193	0.138	0.422	0.135	0.185	0.137	0.292
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.524	0.0	0.0	0.0	0.0	0.525	0.11	0.0	0.0	0.0	0.0	0.111	0.698	0.0	0.0	0.0	0.0	0.698	0.573	0.0	0.0	0.0	0.0	0.574	0.236	0.0	0.0	0.0	0.0	0.237	1.027	0.0	0.0	0.0	0.0	1.028
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.251	0.0	0.0	0.0	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.118	0.657	0.0	0.0	0.0	0.0	0.658
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.106	0.41	0.013	0.49	0.054	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.408	0.011	0.487	0.051	0.056	0.097	0.401	0.004	0.481	0.045	0.049
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.039	0.032	0.023	0.164	0.026	0.101	0.264	0.257	0.248	0.389	0.251	0.326	1.063	1.056	1.046	1.188	1.05	1.125	0.172	0.165	0.156	0.297	0.159	0.234	0.106	0.099	0.09	0.231	0.093	0.168	0.817	0.81	0.801	0.942	0.804	0.879
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.105	0.098	0.088	0.23	0.092	0.166	0.203	0.196	0.187	0.328	0.191	0.265	0.056	0.049	0.04	0.181	0.043	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.081	0.072	0.213	0.076	0.15	0.188	0.181	0.172	0.313	0.176	0.25
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.037	1.631	0.031	0.26	0.038	0.27	0.155	1.748	0.149	0.378	0.155	0.387	0.038	1.632	0.032	0.261	0.039	0.27	0.152	1.746	0.146	0.375	0.153	0.385	0.038	1.632	0.032	0.261	0.039	0.271	0.075	1.668	0.069	0.298	0.075	0.307
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.426	2.02	0.42	0.649	0.427	0.658	0.232	1.826	0.226	0.455	0.233	0.465	0.696	2.29	0.69	0.919	0.697	0.928	0.178	1.772	0.172	0.401	0.179	0.41	0.446	2.039	0.44	0.669	0.446	0.678	0.617	2.211	0.611	0.84	0.618	0.85
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.037	0.816	0.031	0.128	0.038	0.078	0.155	0.933	0.149	0.245	0.155	0.195	0.038	0.816	0.032	0.129	0.039	0.079	0.152	0.931	0.146	0.243	0.153	0.193	0.038	0.817	0.032	0.129	0.039	0.079	0.075	0.853	0.069	0.165	0.075	0.115
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.426	1.204	0.42	0.517	0.427	0.467	0.232	1.011	0.226	0.323	0.233	0.273	0.696	1.475	0.69	0.787	0.697	0.737	0.178	0.956	0.172	0.269	0.179	0.218	0.446	1.224	0.44	0.536	0.446	0.486	0.617	1.396	0.611	0.708	0.618	0.658
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.111	0.949	0.05	0.0	0.06	0.106	0.228	1.066	0.167	0.0	0.177	0.223	0.111	0.95	0.05	0.0	0.061	0.107	0.226	1.064	0.165	0.0	0.175	0.221	0.112	0.95	0.051	0.0	0.061	0.107	0.148	0.986	0.087	0.0	0.097	0.143
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.499	1.338	0.438	0.0	0.449	0.495	0.306	1.144	0.245	0.0	0.255	0.301	0.77	1.608	0.709	0.0	0.719	0.765	0.251	1.09	0.19	0.0	0.2	0.247	0.519	1.358	0.458	0.0	0.468	0.514	0.691	1.529	0.63	0.0	0.64	0.686
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.042	0.037	0.029	0.0	0.039	0.288	0.398	0.393	0.386	0.0	0.395	0.644	0.028	0.024	0.016	0.0	0.025	0.275	0.458	0.453	0.446	0.0	0.455	0.705	0.036	0.032	0.024	0.0	0.033	0.283	0.123	0.119	0.111	0.0	0.12	0.37
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.029	0.0	0.0	0.0	0.012	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.013	0.004	0.06	0.0	0.0	0.0	0.043	0.034
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.001	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.007	0.031	0.0	0.0	0.0	0.0	0.037
