id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|UN
CPI-SS0A6FCBF7C	CNTN1_NOTCH1	simple:Q12860	simple:P46531	CNTN1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.078																																										0.252	0.251		0.173	0.146	0.258																	
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.078																																									0.164	0.56	0.638			0.165	0.727																	
CPI-SS0CBB9D57D	LRFN5_PTPRF	simple:Q96NI6	simple:P10586	LRFN5	PTPRF	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.078																																									0.254	0.189	0.199	0.28	0.245																			
CPI-SS00373B59C	LRRC4C_PTPRF	simple:Q9HCJ2	simple:P10586	LRRC4C	PTPRF	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.078																																									0.351	0.287	0.296	0.377	0.342																			
CPI-SS085A1A34C	TNFSF10_TNFRSF10A	simple:P50591	simple:O00220	TNFSF10	TNFRSF10A	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.094										0.197	0.247							0.255	0.305							0.108	0.158																																					
CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	True	False	True	curated	False	Ligand-Receptor	Signaling by Plasminogen Activator	0.094										0.583	0.649		0.449					0.574	0.639		0.44																																											
CPI-SS0E90C46BC	ENTPD1_ADORA2A	simple:P49961	simple:P29274	ENTPD1	ADORA2A	False	False	True	curated	False	Ligand-Receptor	Signaling by Ectonucleoside	0.125										0.272	0.186							0.331	0.245															0.195	0.109															0.236	0.15													
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.125									0.46					0.438			0.452					0.43																			0.359					0.337			0.584					0.562										
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.125												0.302	0.245	0.309	0.252													0.529	0.472	0.536	0.479																																	
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.141										1.023	0.977		0.249					1.237	1.191		0.463																													1.106	1.06		0.332											
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.141										1.576	1.566				0.978			1.566	1.556				0.968																											0.978	0.968				0.38									
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.141		0.389	0.525		0.158																													0.391	0.527		0.16					0.519	0.655		0.288																			
CPI-SS0AFCA0602	DLL4_NOTCH1	simple:Q9NR61	simple:P46531	DLL4	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.156										0.35	0.349		0.271	0.244	0.356			0.367	0.365		0.287	0.26	0.372																																									
CPI-SS015B29D3F	APOA1_ABCA1	simple:P02647	simple:O95477	APOA1	ABCA1	True	False	False	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.172		0.16		0.191	0.269	0.162	0.173																			1.162	1.139	1.192	1.271	1.164	1.175																																	
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.234										1.691	1.442		0.397	0.279	0.459			1.905	1.656		0.611	0.492	0.673																											1.774	1.525		0.48	0.362	0.542									
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.281		1.379	1.332							0.996	0.95							0.957	0.911							1.402	1.356							1.554	1.508		0.78					0.977	0.931							0.954	0.908							1.453	1.407		0.679			
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.281											0.344		0.556	0.834	0.569				0.24		0.452	0.73	0.465						0.303	0.582	0.317						0.367	0.646	0.381												0.474		0.685	0.964	0.699									
CPI-SS01790830C	PGF_NRP1	simple:P49763	simple:O14786	PGF	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.312									0.348	0.74	0.643		0.388	0.322	0.389		0.561	0.954	0.856	0.425	0.601	0.535	0.603																										0.431	0.823	0.725	0.294	0.47	0.404	0.472									
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.312									0.304	0.887	0.69		0.267	0.734	0.24		0.517	1.1	0.904	0.432	0.481	0.948	0.453																										0.387	0.969	0.773	0.301	0.35	0.817	0.322									
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.328		0.631	0.603		0.367				0.631	1.084	1.056		0.82	0.642			0.603	1.056	1.028		0.792	0.614											0.367	0.82	0.792		0.556	0.378				0.642	0.614		0.378																			
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.328	0.661	1.379	1.332							0.996	0.95							0.957	0.911							1.402	1.356						0.836	1.554	1.508		0.78					0.977	0.931							0.954	0.908						0.736	1.453	1.407		0.679			
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.344	0.703	1.096	0.998		0.743		0.744																			1.119	1.022		0.767		0.768		0.879	1.271	1.174	0.743	0.919	0.852	0.92																		0.778	1.171	1.073		0.818	0.752	0.819	
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.375	0.659	1.242	1.046			1.09				0.86				0.707				0.821								1.266	1.069			1.113			0.835	1.418	1.221	0.749	0.798	1.265	0.771			0.841								0.818							0.734	1.317	1.12		0.697	1.164		
CPI-SS0FC612D4D	DLK1_NOTCH1	simple:P80370	simple:P46531	DLK1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.391										0.299	0.298		0.22	0.193	0.305											1.125	1.124		1.046	1.019	1.131			1.389	1.388		1.31	1.283	1.395			0.827	0.825		0.747	0.72	0.832			0.356	0.355		0.277	0.25	0.362									
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.422		2.047	1.797		0.753	0.634	0.814			1.664	1.415							1.625	1.376							2.07	1.821		0.776		0.838			2.222	1.973		0.928	0.81	0.99			1.645	1.396							1.622	1.373							2.121	1.872		0.828	0.709	0.889	
CPI-CS0406B0B69	Cholesterol_byLIPA_RORA	complex:Cholesterol_byLIPA	simple:P35398		RORA	True	False	True	curated	False	Ligand-Receptor	Signaling by Cholesterol	0.422									0.522	0.513	0.504	0.543	0.511	0.51	0.464		0.675	0.667	0.658	0.696	0.664	0.664	0.618										0.354	0.346	0.337	0.375	0.343	0.343	0.297										0.238	0.229	0.221	0.259	0.227	0.227										
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.469		0.248	0.247		0.169	0.142	0.254			0.352	0.351		0.273	0.246	0.358			0.325	0.324		0.246	0.219	0.331											0.366	0.365		0.287	0.26	0.372			0.298	0.296		0.219	0.192	0.304			0.458	0.457		0.379	0.352	0.464									
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	True	False	True	curated	False	Ligand-Receptor	Signaling by Galectin	1.4689999999999999																																																																
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.4689999999999999																																																																
CPI-SS0AD2A36FE	RELN_LRP8	simple:P78509	simple:Q14114	RELN	LRP8	True	False	True	curated	False	Ligand-Receptor	Signaling by Reelin	1.4689999999999999																																																																
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.4689999999999999																																																																
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.4689999999999999																																																																
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.4689999999999999																																																																
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.4689999999999999																																																																
CPI-SS044C72D0D	SEMA4A_PLXND1	simple:Q9H3S1	simple:Q9Y4D7	SEMA4A	PLXND1	False	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.4689999999999999																																																																
CPI-SS0C272BD3D	CORT_SSTR2	simple:O00230	simple:P30874	CORT	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	1.4689999999999999																																																																
CPI-SC054175DCB	SHH_PTCH2_GAS1_transmembrane_receptor	simple:Q15465	complex:PTCH2_GAS1_transmembrane_receptor	SHH		True	False	True	curated	False	Ligand-Receptor	Signaling by Sonic hedgehog	1.4689999999999999																																																																
CPI-SS0F0492F71	THY1_ADGRE2	simple:P04216	simple:Q9UHX3	THY1	ADGRE2	False	False	True	curated	False	Adhesion-Adhesion	Adhesion by antigen THY1	1.4689999999999999																																																																
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1		NR1H4	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	1.4689999999999999																																																																
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		1.4689999999999999																																																																
CPI-SS09F9914EE	WNT2_CER1	simple:P09544	simple:O95813	WNT2	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.4689999999999999																																																																
CPI-SS02704D1B8	WNT2_FRZB	simple:P09544	simple:Q92765	WNT2	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.4689999999999999																																																																
CPI-SS01E6C2BB8	WNT2_SFRP1	simple:P09544	simple:Q8N474	WNT2	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.4689999999999999																																																																
CPI-SS0C95AC883	WNT2_SFRP2	simple:P09544	simple:Q96HF1	WNT2	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.4689999999999999																																																																
CPI-SS001BD48FB	WNT2_SFRP5	simple:P09544	simple:Q5T4F7	WNT2	SFRP5	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.4689999999999999																																																																
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.4689999999999999																																																																
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	1.4689999999999999																																																																
CPI-SS0D9EFC4F7	GNRH1_GNRHR	simple:P01148	simple:P30968	GNRH1	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	1.4689999999999999																																																																
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Galectin	1.4689999999999999																																																																
CPI-SS09947DDD9	EGF_EGFR	simple:P01133	simple:P00533	EGF	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	1.4689999999999999																																																																
CPI-CS077A507B6	LTC4_byLTC4S_CYSLTR2	complex:LTC4_byLTC4S	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	1.4689999999999999																																																																
CPI-SS0696491A3	EDN3_EDNRB	simple:P14138	simple:P24530	EDN3	EDNRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	1.4689999999999999																																																																
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	1.4689999999999999																																																																
CPI-SS02B2C16ED	NELL2_ROBO3	simple:Q99435	simple:Q96MS0	NELL2	ROBO3	True	False	True	curated	False	Ligand-Receptor		1.4689999999999999																																																																
CPI-SS0F7A89A4F	SHH_HHIP	simple:Q15465	simple:Q96QV1	SHH	HHIP	True	False	False	curated	False	Ligand-Ligand	Signaling by Sonic hedgehog	1.4689999999999999																																																																
CPI-SS055233B99	IHH_HHIP	simple:Q14623	simple:Q96QV1	IHH	HHIP	True	False	False	curated	False	Ligand-Ligand	Signaling by Indian hedgehog	1.4689999999999999																																																																
CPI-SS00F4019EA	C3_C5AR2	simple:P01024	simple:Q9P296	C3	C5AR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	1.4689999999999999																																																																
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	1.4689999999999999																																																																
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	1.4689999999999999																																																																
CPI-SS0C8A09915	VIP_VIPR1	simple:P01282	simple:P32241	VIP	VIPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	1.4689999999999999																																																																
CPI-SS0C2437E0D	CXCL13_CXCR5	simple:O43927	simple:P32302	CXCL13	CXCR5	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS0F562FEA5	CXCL2_CXCR2	simple:P19875	simple:P25025	CXCL2	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	1.4689999999999999																																																																
CPI-SS062DED513	ADCYAP1_VIPR1	simple:P18509	simple:P32241	ADCYAP1	VIPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	1.4689999999999999																																																																
CPI-SS0E0DEA7D5	PECAM1_CD38	simple:P16284	simple:P28907	PECAM1	CD38	False	True	True	curated	False	Receptor-Receptor		1.4689999999999999																																																																
