gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PR	UN	nan
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.116	0.408	0.072	0.286	0.022	0.113
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.04	0.026	0.014	0.0	0.012	0.174
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.116	0.408	0.072	0.286	0.022	0.113
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.131	0.184	0.304	0.0	0.043	0.087
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.031	0.0	0.116	0.0	0.012	0.097
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.001	0.026	0.0	0.0	0.0	0.0
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.015	0.039	0.232	0.0	0.002	0.051
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.004	0.0	0.0	0.0	0.002	0.0
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.074	0.026	0.0	0.143	0.019	0.303
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.009	0.0	0.0	0.0	0.002	0.005
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.705	0.118	0.826	0.714	0.176	0.985
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.467	0.039	0.072	0.714	0.076	0.831
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.018	0.0	0.0	0.0	0.009	0.005
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.067	0.421	0.768	1.0	0.083	0.81
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.203	0.461	0.174	0.286	0.065	0.421
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.03	0.289	0.072	0.286	0.009	0.144
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.808	0.618	0.913	0.571	0.454	0.846
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.03	0.289	0.072	0.286	0.009	0.144
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.808	0.618	0.913	0.571	0.454	0.846
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.03	0.289	0.072	0.286	0.009	0.144
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.808	0.618	0.913	0.571	0.454	0.846
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.097	0.579	0.029	0.143	0.009	0.256
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.0	0.002	0.031
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.001	0.0	0.0	0.0	0.002	0.031
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.001	0.0	0.058	0.0	0.002	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.001	0.0	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.613	0.013	0.145	0.143	0.246	0.256
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.023	0.013	0.0	0.0	0.007	0.031
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0	0.002	0.01
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.335	0.039	0.754	0.286	0.052	0.667
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.006	0.0	0.0	0.143	0.009	0.421
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.0	0.013	0.101	0.0	0.002	0.031
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.808	0.618	0.913	0.571	0.454	0.846
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.022	0.066	0.043	0.0	0.021	0.103
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.053	0.026	0.101	0.286	0.019	0.292
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.002	0.0	0.0	0.0	0.002	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.022	0.066	0.043	0.0	0.021	0.103
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.053	0.026	0.101	0.286	0.019	0.292
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.002	0.0	0.0	0.0	0.002	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.022	0.066	0.043	0.0	0.021	0.103
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.053	0.026	0.101	0.286	0.019	0.292
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.002	0.0	0.0	0.0	0.002	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS010F961E8	WNT2B	0.022	0.066	0.043	0.0	0.021	0.103
WNT4	P56705	False	WNT4_HUMAN		CPI-SS068E97BDA	WNT4	0.001	0.0	0.0	0.0	0.002	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03C93A8FE	WNT5A	0.053	0.026	0.101	0.286	0.019	0.292
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS04662DF1A	WNT9A	0.002	0.0	0.0	0.0	0.002	0.0
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.0	0.0	0.0	0.002	0.0
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.002	0.961	0.0	0.143	0.007	0.092
FTL	P02792	False	FRIL_HUMAN		CPI-SS00577086D	FTL	1.0	1.0	1.0	1.0	0.733	1.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.057	0.934	0.043	0.0	0.038	0.154
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.057	0.934	0.043	0.0	0.038	0.154
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.057	0.934	0.043	0.0	0.038	0.154
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.057	0.934	0.043	0.0	0.038	0.154
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.013	0.0	0.0	0.0	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.013	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.013	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.013	0.0	0.0	0.0	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.0	0.0	0.0	0.0	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.0	0.0	0.0	0.0	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.011	0.0	0.0	0.0	0.002	0.026
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.011	0.0	0.0	0.0	0.002	0.026
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.011	0.0	0.0	0.0	0.002	0.026
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.011	0.0	0.0	0.0	0.002	0.026
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.061	0.632	0.13	0.429	0.022	0.672
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.008	0.0	0.0	0.0	0.0	0.005
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.002	0.013	0.609	0.143	0.005	0.015
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.008	0.013	0.0	0.143	0.007	0.267
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.63	0.066	0.072	0.0	0.09	0.179
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.63	0.066	0.072	0.0	0.09	0.179
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.63	0.066	0.072	0.0	0.09	0.179
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.63	0.066	0.072	0.0	0.09	0.179
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.004	0.026	0.0	0.0	0.009	0.005
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	ACKR4	0.004	0.026	0.0	0.0	0.009	0.005
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.004	0.026	0.0	0.0	0.009	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.001	0.0	0.0	0.0	0.0	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.001	0.0	0.0	0.0	0.0	0.005
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.001	0.0	0.0	0.0	0.0	0.005
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.013	0.289	0.0	0.143	0.005	0.251
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.013	0.289	0.0	0.143	0.005	0.251
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.01	0.026	0.0	0.286	0.015	0.108
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.006	0.421	0.652	0.0	0.003	0.144
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.154	0.013	0.014	0.429	0.022	0.231
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.154	0.013	0.014	0.429	0.022	0.231
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.154	0.013	0.014	0.429	0.022	0.231
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.419	0.053	0.043	0.143	0.114	0.041
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.419	0.053	0.043	0.143	0.114	0.041
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.002	0.0	0.0	0.0	0.002	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.022	0.013	0.043	0.143	0.009	0.246
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.005	0.013	0.42	0.143	0.01	0.328
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.292	0.658	0.116	0.286	0.088	0.533
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.292	0.658	0.116	0.286	0.088	0.533
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.098	0.737	0.087	0.143	0.031	0.59
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.098	0.737	0.087	0.143	0.031	0.59
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.098	0.737	0.087	0.143	0.031	0.59
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.0	0.0	0.0	0.002	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.264	0.684	0.058	0.143	0.055	0.092
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.076	0.145	0.072	0.143	0.014	0.318
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.076	0.145	0.072	0.143	0.014	0.318
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.057	1.0	0.043	0.143	0.038	0.544
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.057	1.0	0.043	0.143	0.038	0.544
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.267	0.987	0.058	0.143	0.095	0.19
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.267	0.987	0.058	0.143	0.095	0.19
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.051	0.079	0.0	0.429	0.034	0.636
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.093	0.013	0.043	0.0	0.007	0.026
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.0	0.0	0.01
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.0	0.0	0.0	0.143	0.0	0.005
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.0	0.013	0.0	0.0	0.0	0.021
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.0	0.0	0.101	0.0	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.0	0.0	0.101	0.0	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.002	0.0	0.0	0.0	0.009	0.159
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.002	0.0	0.0	0.0	0.009	0.159
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.002	0.0	0.0	0.0	0.009	0.159
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.184	0.763	0.043	0.286	0.059	0.338
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.005	0.0	0.159	0.0	0.007	0.0
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.096	0.184	0.029	0.143	0.041	0.462
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.007	0.0	0.0	0.0	0.0	0.021
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.003	0.039	0.014	0.0	0.0	0.005
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.333	0.934	0.058	0.0	0.083	0.154
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.27	0.053	0.087	0.143	0.041	0.123
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.27	0.053	0.087	0.143	0.041	0.123
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.27	0.053	0.087	0.143	0.041	0.123
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.27	0.053	0.087	0.143	0.041	0.123
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.909	0.658	0.203	0.143	0.212	0.805
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.909	0.658	0.203	0.143	0.212	0.805
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.909	0.658	0.203	0.143	0.212	0.805
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.909	0.658	0.203	0.143	0.212	0.805
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.0	0.0	0.0	0.0	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.0	0.0	0.0	0.0	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.0	0.0	0.0	0.0	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS010F961E8	WIF1	0.0	0.0	0.014	0.0	0.0	0.015
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS068E97BDA	WIF1	0.0	0.0	0.014	0.0	0.0	0.015
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS03C93A8FE	WIF1	0.0	0.0	0.014	0.0	0.0	0.015
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS04662DF1A	WIF1	0.0	0.0	0.014	0.0	0.0	0.015
SCARA5	Q6ZMJ2	False	SCAR5_HUMAN		CPI-SS00577086D	SCARA5	0.0	0.0	0.0	0.0	0.0	0.005
