gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	SM	UN
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.05	0.348	0.161	0.314	0.077	0.514	0.032
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.025	0.0	0.852	0.037	0.003	0.0	0.007
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.025	0.0	0.852	0.037	0.003	0.0	0.007
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.003	0.02	0.0	0.03	0.097	0.162	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.01	0.002	0.0	0.006	0.031	0.0	0.0
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.002	0.002	0.0	0.004	0.003	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.014	0.002	0.0	0.002	0.014	0.0	0.011
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.007	0.005	0.0	0.034	0.047	0.0	0.004
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.097	0.011	0.0	0.273	0.01	0.0	0.043
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.002	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.016	0.0	0.017	0.0	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.0	0.007	0.007	0.004	0.001	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.009	0.001	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.004	0.034	0.039	0.0	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.298	0.041	0.188	0.249	0.38	0.351	0.046
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.005	0.002	0.034	0.006	0.01	0.054	0.0
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.025	0.002	0.0	0.006	0.035	0.0	0.004
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.003	0.075	0.04	0.211	0.005	0.243	0.007
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0	0.0	0.004
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.001	0.0	0.0	0.0	0.012	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.039	0.052	0.007	0.116	0.103	0.054	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.068	0.705	0.081	0.372	0.482	0.541	0.06
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.039	0.052	0.007	0.116	0.103	0.054	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.068	0.705	0.081	0.372	0.482	0.541	0.06
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.069	0.096	0.168	0.045	0.002	0.054	0.014
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.028	0.023	0.047	0.095	0.051	0.135	0.007
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.005	0.004	0.0	0.041	0.002	0.054	0.0
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.007	0.023	0.208	0.022	0.135	0.0	0.007
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.004	0.002	0.0	0.004	0.097	0.0	0.004
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.068	0.032	0.0	0.247	0.145	0.027	0.018
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.003	0.002	0.0	0.002	0.008	0.0	0.0
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.002	0.005	0.007	0.245	0.029	0.0	0.014
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.655	0.195	0.799	0.905	0.883	0.73	0.181
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.426	0.052	0.04	0.692	0.466	0.405	0.11
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.021	0.009	0.007	0.019	0.08	0.0	0.0
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.032	0.104	0.872	0.617	0.296	0.162	0.057
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.184	0.35	0.141	0.492	0.221	0.73	0.057
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.002	0.005	0.007	0.245	0.029	0.0	0.014
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.02	0.498	0.02	0.142	0.185	0.324	0.021
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.509	0.145	0.738	0.432	0.199	0.135	0.302
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.02	0.498	0.02	0.142	0.185	0.324	0.021
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.509	0.145	0.738	0.432	0.199	0.135	0.302
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.02	0.498	0.02	0.142	0.185	0.324	0.021
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.509	0.145	0.738	0.432	0.199	0.135	0.302
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.065	0.545	0.027	0.381	0.255	0.784	0.021
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.026	0.004	0.0	0.0
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.001	0.0	0.0	0.026	0.004	0.0	0.0
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.0	0.0	0.007	0.0	0.0	0.0	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0	0.003	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.436	0.025	0.027	0.099	0.101	0.135	0.157
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.011	0.0	0.0	0.007	0.0	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.007	0.005	0.02	0.009	0.021	0.0	0.004
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.196	0.039	0.738	0.535	0.32	0.946	0.043
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.009	0.014	0.02	0.2	0.273	0.054	0.007
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.001	0.37	0.195	0.045	0.005	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.509	0.145	0.738	0.432	0.199	0.135	0.302
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.017	0.07	0.013	0.08	0.022	0.027	0.018
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.001	0.002	0.0	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.025	0.125	0.087	0.181	0.113	0.135	0.011
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.0	0.002	0.0	0.0	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.017	0.07	0.013	0.08	0.022	0.027	0.018
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.001	0.002	0.0	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.025	0.125	0.087	0.181	0.113	0.135	0.011
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.0	0.002	0.0	0.0	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.017	0.07	0.013	0.08	0.022	0.027	0.018
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.001	0.002	0.0	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.025	0.125	0.087	0.181	0.113	0.135	0.011
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.0	0.002	0.0	0.0	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS010F961E8	WNT2B	0.017	0.07	0.013	0.08	0.022	0.027	0.018
WNT4	P56705	False	WNT4_HUMAN		CPI-SS068E97BDA	WNT4	0.001	0.002	0.0	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03C93A8FE	WNT5A	0.025	0.125	0.087	0.181	0.113	0.135	0.011
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS04662DF1A	WNT9A	0.0	0.002	0.0	0.0	0.0	0.0	0.0
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.002	0.0	0.002	0.016	0.0	0.0
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.008	0.977	0.02	0.2	0.116	0.216	0.018
FTL	P02792	False	FRIL_HUMAN		CPI-SS00577086D	FTL	0.999	0.998	1.0	1.0	0.998	1.0	0.655
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.061	0.968	0.02	0.153	0.035	0.0	0.028
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.061	0.968	0.02	0.153	0.035	0.0	0.028
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.061	0.968	0.02	0.153	0.035	0.0	0.028
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.061	0.968	0.02	0.153	0.035	0.0	0.028
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGB7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGB7	P26010	True	ITB7_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGB7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC034EE8AAA	ITGA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGA4	P13612	True	ITA4_HUMAN	integrin_a4b7_complex	CPI-SC06C0A2080	ITGA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.004	0.0	0.002	0.008	0.027	0.004
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.004	0.0	0.002	0.008	0.027	0.004
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.007	0.004	0.02	0.015	0.018	0.027	0.007
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.007	0.004	0.02	0.015	0.018	0.027	0.007
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.007	0.004	0.02	0.015	0.018	0.027	0.007
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.007	0.004	0.02	0.015	0.018	0.027	0.007
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.048	0.755	0.047	0.744	0.254	0.811	0.032
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.013	0.012	0.013	0.017	0.078	0.405	0.004
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.003	0.011	0.477	0.024	0.048	0.0	0.0
AGTR2	P50052	False	AGTR2_HUMAN		CPI-SS069924427	AGTR2	0.0	0.0	0.013	0.0	0.002	0.0	0.0
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.003	0.016	0.0	0.118	0.095	0.108	0.004
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.379	0.043	0.034	0.056	0.403	0.027	0.093
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.379	0.043	0.034	0.056	0.403	0.027	0.093
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.379	0.043	0.034	0.056	0.403	0.027	0.093
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.379	0.043	0.034	0.056	0.403	0.027	0.093
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.002	0.004	0.013	0.017	0.002	0.027	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	ACKR4	0.002	0.004	0.013	0.017	0.002	0.027	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.002	0.004	0.013	0.017	0.002	0.027	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.002	0.002	0.0	0.011	0.0	0.0	0.004
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.002	0.002	0.0	0.011	0.0	0.0	0.004
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.002	0.002	0.0	0.011	0.0	0.0	0.004
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.002	0.002	0.0	0.011	0.0	0.0	0.004
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.006	0.673	0.013	0.097	0.037	0.0	0.014
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.006	0.673	0.013	0.097	0.037	0.0	0.014
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.006	0.007	0.007	0.056	0.097	0.027	0.018
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.004	0.173	0.557	0.146	0.108	0.351	0.0
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.202	0.054	0.04	0.303	0.539	0.73	0.025
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.202	0.054	0.04	0.303	0.539	0.73	0.025
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.202	0.054	0.04	0.303	0.539	0.73	0.025
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.27	0.05	0.007	0.047	0.191	0.054	0.085
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.27	0.05	0.007	0.047	0.191	0.054	0.085
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.002	0.0	0.015	0.005	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.013	0.014	0.04	0.065	0.104	0.027	0.004
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.015	0.038	0.456	0.288	0.266	0.162	0.011
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.21	0.707	0.034	0.51	0.455	0.432	0.06
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.21	0.707	0.034	0.51	0.455	0.432	0.06
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.063	0.582	0.148	0.467	0.32	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.063	0.582	0.148	0.467	0.32	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.063	0.582	0.148	0.467	0.32	0.297	0.025
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.002	0.0	0.0	0.005	0.0	0.004
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.002	0.004	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.002	0.004	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.221	0.832	0.02	0.262	0.31	0.946	0.075
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.062	0.059	0.047	0.335	0.267	0.757	0.025
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.062	0.059	0.047	0.335	0.267	0.757	0.025
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.002	0.0	0.0	0.015	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.061	0.996	0.047	0.533	0.273	0.595	0.028
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.061	0.996	0.047	0.533	0.273	0.595	0.028
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.337	0.87	0.047	0.241	0.337	0.324	0.078
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.337	0.87	0.047	0.241	0.337	0.324	0.078
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.036	0.061	0.034	0.486	0.511	0.108	0.011
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.053	0.012	0.007	0.039	0.191	0.135	0.011
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.006	0.0	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.007	0.002	0.0	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.001	0.002	0.0	0.006	0.018	0.0	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.002	0.018	0.02	0.013	0.071	0.081	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.047	0.0	0.05	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.047	0.0	0.05	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.041	0.003	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.0	0.0	0.041	0.003	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.0	0.0	0.041	0.003	0.0	0.0
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0	0.002	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.087	0.938	0.081	0.366	0.181	0.297	0.05
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.06	0.318	0.013	0.542	0.317	0.541	0.028
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.001	0.002	0.0	0.002	0.015	0.0	0.0
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.011	0.025	0.027	0.022	0.003	0.054	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.201	0.968	0.02	0.153	0.035	0.0	0.046
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.198	0.038	0.013	0.069	0.229	0.108	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.198	0.038	0.013	0.069	0.229	0.108	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.198	0.038	0.013	0.069	0.229	0.108	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.198	0.038	0.013	0.069	0.229	0.108	0.032
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.889	0.432	0.081	0.72	0.691	0.378	0.31
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.889	0.432	0.081	0.72	0.691	0.378	0.31
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.889	0.432	0.081	0.72	0.691	0.378	0.31
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.889	0.432	0.081	0.72	0.691	0.378	0.31
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.004	0.002	0.0	0.002	0.044	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.004	0.002	0.0	0.002	0.044	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.004	0.002	0.0	0.002	0.044	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.004	0.002	0.0	0.002	0.044	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS010F961E8	WIF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS068E97BDA	WIF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS03C93A8FE	WIF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS04662DF1A	WIF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCARA5	Q6ZMJ2	False	SCAR5_HUMAN		CPI-SS00577086D	SCARA5	0.0	0.0	0.0	0.0	0.002	0.0	0.0
