gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EC	MP	PC	VSMC
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0
KLRC2	P26717	False	NKG2C_HUMAN		CPI-SS0C4FA643F	KLRC2	0.0	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.002	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.002	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.85	0.177	0.497	0.946
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.154	0.155	0.295	0.685
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.154	0.155	0.295	0.685
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.003	0.012	0.001	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.961	0.096	0.214	0.461
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.961	0.096	0.214	0.461
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.716	0.617	0.226	0.303
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.716	0.617	0.226	0.303
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.277	0.635	0.516	0.164
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.073	0.192	0.137	0.312
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.001	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.007	0.012	0.007	0.016
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.034	0.011	0.014	0.025
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.009	0.053	0.006	0.003
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.009	0.053	0.006	0.003
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.002	0.002	0.002	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.002	0.002	0.002	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.002	0.002	0.002	0.0
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.001	0.0	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.844	0.125	0.282	0.328
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.01	0.005	0.017	0.0
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.23	0.201	0.257	0.574
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.007	0.02	0.007	0.006
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.024	0.0	0.0	0.009
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.902	0.011	0.021	0.013
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.114	0.165	0.265	0.101
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.114	0.165	0.265	0.101
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.114	0.165	0.265	0.101
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.114	0.165	0.265	0.101
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.332	0.628	0.418	0.24
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.332	0.628	0.418	0.24
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.332	0.628	0.418	0.24
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.332	0.628	0.418	0.24
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.035	0.133	0.032	0.019
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.035	0.133	0.032	0.019
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.035	0.133	0.032	0.019
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.035	0.133	0.032	0.019
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS010F961E8	WIF1	0.001	0.003	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS068E97BDA	WIF1	0.001	0.003	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS03C93A8FE	WIF1	0.001	0.003	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS04662DF1A	WIF1	0.001	0.003	0.0	0.0
SCARA5	Q6ZMJ2	False	SCAR5_HUMAN		CPI-SS00577086D	SCARA5	0.0	0.001	0.0	0.0
