gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM	UN
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.418	0.037	0.044	0.605	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.418	0.037	0.044	0.605	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.418	0.037	0.044	0.605	0.016	0.199
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.418	0.037	0.044	0.605	0.016	0.199
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.002	0.003	0.011	0.004	0.026	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0CCD89E02	ACKR4	0.002	0.003	0.011	0.004	0.026	0.0
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS083B5EBAB	ACKR4	0.002	0.003	0.011	0.004	0.026	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.002	0.001	0.0	0.001	0.0	0.008
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.002	0.001	0.0	0.001	0.0	0.008
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.002	0.001	0.0	0.001	0.0	0.008
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.002	0.001	0.0	0.001	0.0	0.008
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.006	0.929	0.011	0.054	0.0	0.041
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.006	0.929	0.011	0.054	0.0	0.041
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.005	0.005	0.004	0.11	0.018	0.043
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.004	0.136	0.558	0.127	0.368	0.0
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.194	0.051	0.034	0.768	0.898	0.053
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.194	0.051	0.034	0.768	0.898	0.053
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.194	0.051	0.034	0.768	0.898	0.053
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.32	0.044	0.003	0.25	0.025	0.177
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.32	0.044	0.003	0.25	0.025	0.177
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.002	0.0	0.008	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.011	0.011	0.028	0.123	0.019	0.01
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.012	0.026	0.387	0.346	0.163	0.025
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.2	0.786	0.028	0.637	0.469	0.121
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.2	0.786	0.028	0.637	0.469	0.121
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.057	0.59	0.092	0.449	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.057	0.59	0.092	0.449	0.271	0.054
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.057	0.59	0.092	0.449	0.271	0.054
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.001	0.0	0.005	0.0	0.006
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.005	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.005	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.213	1.262	0.017	0.471	1.678	0.165
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.055	0.046	0.025	0.35	0.8	0.054
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.055	0.046	0.025	0.35	0.8	0.054
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.001	0.0	0.019	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.055	2.997	0.053	0.467	0.858	0.077
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.055	2.997	0.053	0.467	0.858	0.077
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.412	1.3	0.039	0.544	0.253	0.172
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.412	1.3	0.039	0.544	0.253	0.172
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.033	0.045	0.03	0.8	0.071	0.021
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.054	0.009	0.006	0.253	0.113	0.017
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.001	0.0	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.004	0.0	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.001	0.002	0.0	0.021	0.0	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.001	0.013	0.008	0.08	0.056	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.033	0.061	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.033	0.061	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.008	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.0	0.0	0.008	0.0	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.0	0.0	0.008	0.0	0.0
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.002	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.078	1.403	0.059	0.246	0.312	0.1
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.052	0.252	0.007	0.437	0.49	0.065
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.001	0.001	0.0	0.017	0.0	0.0
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.009	0.018	0.015	0.006	0.035	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.215	1.855	0.024	0.071	0.0	0.093
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.213	0.026	0.011	0.282	0.103	0.06
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.213	0.026	0.011	0.282	0.103	0.06
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.213	0.026	0.011	0.282	0.103	0.06
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.213	0.026	0.011	0.282	0.103	0.06
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	1.758	0.483	0.069	1.76	0.583	0.74
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	1.758	0.483	0.069	1.76	0.583	0.74
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	1.758	0.483	0.069	1.76	0.583	0.74
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	1.758	0.483	0.069	1.76	0.583	0.74
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.005	0.001	0.0	0.072	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.005	0.001	0.0	0.072	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.005	0.001	0.0	0.072	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.005	0.001	0.0	0.072	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS010F961E8	WIF1	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS068E97BDA	WIF1	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS03C93A8FE	WIF1	0.0	0.0	0.0	0.0	0.0	0.0
WIF1	Q9Y5W5	False	WIF1_HUMAN		CPI-SS04662DF1A	WIF1	0.0	0.0	0.0	0.0	0.0	0.0
SCARA5	Q6ZMJ2	False	SCAR5_HUMAN		CPI-SS00577086D	SCARA5	0.0	0.0	0.0	0.002	0.0	0.0
