id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|UN
CPI-SS0E4E83C2E	BDNF_NGFR	simple:P23560	simple:P08138	BDNF	NGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.053	0.021	0.0	0.113	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.031	0.0	0.123	0.038	0.0	0.0	0.0	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.004	0.0	0.0	0.098	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.108	0.014	0.0	0.0	0.0	0.0	0.0
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.121	0.0	0.124	0.122	0.128	0.02	0.0	0.023	0.021	0.027	0.012	0.0	0.015	0.014	0.02	0.174	0.0	0.177	0.175	0.181	0.048	0.0	0.052	0.05	0.056
CPI-SS06C0074BD	CCL21_CCR7	simple:O00585	simple:P32248	CCL21	CCR7	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.12	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.173	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.113	0.388	0.115	0.211	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.306	0.033	0.129	0.0	0.149	0.424	0.151	0.247	0.0	0.036	0.311	0.038	0.134	0.0
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.011	0.286	0.013	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.371	0.098	0.194	0.0	0.014	0.289	0.016	0.112	0.0	0.007	0.282	0.009	0.105	0.0
CPI-CS0406B0B69	Cholesterol_byLIPA_RORA	complex:Cholesterol_byLIPA	simple:P35398		RORA	True	False	True	curated	False	Ligand-Receptor	Signaling by Cholesterol	0.134	0.105	0.13	0.102	0.129	0.311	0.282	0.306	0.278	0.306	0.198	0.169	0.194	0.166	0.193	0.409	0.38	0.405	0.377	0.404	0.136	0.107	0.132	0.104	0.131
CPI-SS0348885FD	C1QL3_ADGRB3	simple:Q5VWW1	simple:O60242	C1QL3	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.003	0.016	0.0	0.013	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.016	0.0	0.014	0.003	0.004	0.018	0.0	0.015	0.005
CPI-SS09B92F236	EDN1_EDNRB	simple:P05305	simple:P24530	EDN1	EDNRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.005	0.123	0.0	0.059	0.008	0.045	0.164	0.0	0.1	0.049	0.038	0.156	0.0	0.092	0.041	0.072	0.19	0.0	0.126	0.075	0.008	0.127	0.0	0.062	0.011
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.07	0.0	0.249	0.193	0.076	0.028	0.0	0.207	0.151	0.034	0.247	0.0	0.426	0.37	0.253	0.039	0.0	0.218	0.162	0.045	0.046	0.0	0.225	0.169	0.053
CPI-SS09947DDD9	EGF_EGFR	simple:P01133	simple:P00533	EGF	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.022	0.0	0.201	0.144	0.028	0.01	0.0	0.189	0.133	0.016	0.004	0.0	0.183	0.127	0.011	0.004	0.0	0.183	0.127	0.01	0.024	0.0	0.203	0.146	0.03
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	FGF1	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.016	0.0	0.093	0.016	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.097	0.021	0.024	0.015	0.0	0.092	0.015	0.018
CPI-SS032AD1183	NPPA_NPR1	simple:P01160	simple:P16066	NPPA	NPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuropeptide precursor	0.345	0.418	0.348	0.441	0.349	0.019	0.092	0.022	0.115	0.023	0.074	0.147	0.077	0.17	0.078	0.026	0.1	0.03	0.123	0.03	0.166	0.24	0.17	0.263	0.17
CPI-SS0FC612D4D	DLK1_NOTCH1	simple:P80370	simple:P46531	DLK1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.024	0.182	0.0	0.114	0.025	0.248	0.407	0.0	0.338	0.25	1.047	1.206	0.0	1.137	1.048	0.802	0.96	0.0	0.892	0.803	0.09	0.249	0.0	0.18	0.092
CPI-SS0AFCA0602	DLL4_NOTCH1	simple:Q9NR61	simple:P46531	DLL4	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.008	0.167	0.0	0.098	0.009	0.119	0.277	0.0	0.209	0.12	0.019	0.178	0.0	0.109	0.02	0.01	0.169	0.0	0.1	0.011	0.01	0.169	0.0	0.1	0.012
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.037	1.631	0.031	0.27	0.038	0.155	1.748	0.149	0.387	0.155	0.038	1.632	0.032	0.27	0.039	0.075	1.668	0.069	0.307	0.075	0.038	1.632	0.032	0.271	0.039
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.426	2.02	0.42	0.658	0.427	0.232	1.826	0.226	0.465	0.233	0.696	2.29	0.69	0.928	0.697	0.617	2.211	0.611	0.85	0.618	0.446	2.039	0.44	0.678	0.446
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.037	0.816	0.031	0.078	0.038	0.155	0.933	0.149	0.195	0.155	0.038	0.816	0.032	0.079	0.039	0.075	0.853	0.069	0.115	0.075	0.038	0.817	0.032	0.079	0.039
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.426	1.204	0.42	0.467	0.427	0.232	1.011	0.226	0.273	0.233	0.696	1.475	0.69	0.737	0.697	0.617	1.396	0.611	0.658	0.618	0.446	1.224	0.44	0.486	0.446
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.111	0.949	0.05	0.106	0.06	0.228	1.066	0.167	0.223	0.177	0.111	0.95	0.05	0.107	0.061	0.148	0.986	0.087	0.143	0.097	0.112	0.95	0.051	0.107	0.061
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.499	1.338	0.438	0.495	0.449	0.306	1.144	0.245	0.301	0.255	0.77	1.608	0.709	0.765	0.719	0.691	1.529	0.63	0.686	0.64	0.519	1.358	0.458	0.514	0.468
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.023	0.018	0.011	0.269	0.02	0.262	0.258	0.25	0.509	0.259	0.024	0.019	0.011	0.27	0.02	0.027	0.023	0.015	0.274	0.024	0.032	0.027	0.02	0.279	0.029
CPI-SC00DF4C861	PDGFB_PDGFR_complex	simple:P01127	complex:PDGFR_complex	PDGFB		True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.009	0.018	0.0	0.265	0.02	0.249	0.258	0.0	0.505	0.259	0.01	0.019	0.0	0.266	0.02	0.014	0.023	0.0	0.27	0.024	0.018	0.027	0.0	0.274	0.029
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.009	0.026	0.0	0.265	0.036	0.249	0.265	0.0	0.505	0.276	0.01	0.027	0.0	0.266	0.037	0.014	0.03	0.0	0.27	0.041	0.018	0.035	0.0	0.274	0.045
CPI-SS0D9B4021E	NPY_NPY5R	simple:P01303	simple:Q15761	NPY	NPY5R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.006	0.0	0.0	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.032	0.035	0.007	0.0	0.0	0.002	0.006
CPI-SS0D9EFC4F7	GNRH1_GNRHR	simple:P01148	simple:P30968	GNRH1	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.01
CPI-CS0F3C15BCC	ProstaglandinD2_byAKR1C3_PTGDR	complex:ProstaglandinD2_byAKR1C3	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.367	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.023	0.0
CPI-CS0FADCFDB9	PGD2_byPTGDS_PTGDR	complex:PGD2_byPTGDS	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.0	0.148	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.064	0.0
CPI-SS0ACAB1835	RSPO3_LGR4	simple:Q9BXY4	simple:Q9BXB1	RSPO3	LGR4	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.745	0.619	0.626	0.609	0.693	0.169	0.042	0.05	0.032	0.116	0.207	0.08	0.088	0.071	0.155	0.292	0.165	0.173	0.156	0.24	0.393	0.267	0.275	0.257	0.341
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.033	0.004	0.0	0.0	0.0	0.0	0.0	0.798	0.0	0.0	0.83	0.8	0.004	0.0	0.0	0.036	0.006	0.004	0.0	0.0	0.036	0.006
CPI-SS021F26C73	SCT_SCTR	simple:P09683	simple:P47872	SCT	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.032
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.06	0.0	0.031	0.011	0.0	0.0	0.0	0.0	0.0
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.604	1.204	0.421	0.467	0.494	0.411	1.011	0.228	0.273	0.301	0.875	1.475	0.692	0.737	0.765	0.796	1.396	0.613	0.658	0.686	0.624	1.224	0.441	0.486	0.514
CPI-SS040DBE4BA	WNT2B_CER1	simple:Q93097	simple:O95813	WNT2B	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.007	0.0	0.0	0.007	0.008	0.029	0.0	0.0	0.029	0.03	0.007	0.0	0.0	0.007	0.008	0.013	0.0	0.0	0.013	0.015	0.014	0.0	0.0	0.014	0.015
CPI-SS0568E47E6	WNT4_CER1	simple:P56705	simple:O95813	WNT4	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.003	0.005
CPI-SS00C692486	WNT9A_CER1	simple:O14904	simple:O95813	WNT9A	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.003	0.003	0.0	0.0	0.003	0.005
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.126	0.011	0.013	0.037	0.072	0.148	0.033	0.035	0.059	0.094	0.126	0.011	0.013	0.037	0.072	0.132	0.017	0.019	0.044	0.079	0.133	0.018	0.02	0.044	0.079
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.032	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.007	0.009	0.034	0.069
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.032	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.005	0.007	0.032	0.067	0.122	0.007	0.009	0.034	0.069
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.762	0.335	0.088	0.646	0.281	0.784	0.357	0.111	0.668	0.303	0.762	0.335	0.089	0.646	0.281	0.769	0.341	0.095	0.652	0.288	0.769	0.342	0.096	0.653	0.288
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.756	0.329	0.083	0.64	0.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.759	0.331	0.085	0.642	0.278
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.757	0.329	0.083	0.641	0.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.757	0.33	0.083	0.641	0.276	0.759	0.331	0.085	0.643	0.278
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006	0.0	0.0	0.0	0.008	0.028	0.0	0.0	0.0	0.03	0.006	0.0	0.0	0.0	0.008	0.013	0.0	0.0	0.0	0.015	0.013	0.0	0.0	0.0	0.015
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.005
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.003	0.898	0.0	0.034	0.008	0.898	1.794	0.0	0.93	0.904	0.0	0.0	0.0	0.0	0.0	0.034	0.93	0.0	0.066	0.04	0.008	0.904	0.0	0.04	0.014
CPI-SS07D508428	SIGLEC15_CD44	simple:Q6ZMC9	simple:P16070	SIGLEC15	CD44	False	False	True	curated	False	Ligand-Receptor		0.011	0.173	0.002	0.139	0.011	0.022	0.184	0.013	0.15	0.022	0.0	0.0	0.0	0.0	0.0	0.014	0.175	0.005	0.142	0.013	0.015	0.177	0.006	0.143	0.015
